model_type,version,auc_roc,f1_score,precision,recall
catboost,4,0.7466490658001624,0.17263843648208468,0.11471861471861472,0.34868421052631576
lightgbm,3,0.7359656248663902,0.156,0.11206896551724138,0.2565789473684211
xgboost,2,0.7276357208516825,0.15261044176706828,0.10982658959537572,0.25
