feature,importance
credit_grade,2.386327948304475
short_term_borrowing_dependency,0.3017795321606883
employee_count,0.29224177599569784
inventory_turnover,0.26309105457430826
net_working_capital_turnover,0.16377201361277274
operating_income_growth,0.15853855183459795
net_income_growth,0.15196699586059628
accounts_receivable,0.15020633578075898
receivable_turnover,0.1410128188966949
roe,0.13399605556616562
has_credit_event_1,0.12946482773650184
debt_ratio,0.12449181835537318
debt_to_equity,0.12203367445636734
cogs_ratio,0.12156426695782827
borrowing_ratio,0.11766869885508806
equity_ratio,0.1164776252190401
inventory_to_current_asset,0.09663147709420727
audit_status,0.08590812591158774
nwc_to_total_asset,0.07718759216756617
operating_margin,0.07605125581761031
total_capital_turnover,0.07175202761708784
current_ratio,0.06996224313944518
revenue,0.045211305597607755
sga,0.04362749374368416
quick_asset,0.04303732621006697
current_asset,0.04265832286482717
cash_to_debt,0.03852283907823133
sga_ratio,0.03762455520470712
gross_margin,0.03126907672360604
quick_ratio,0.02667507815309869
has_credit_event_2,0.0
