feature,importance
da0d00035_2,0.1536317169031918
da0d00029,0.12355592195722087
d2b000002,0.08988454389028684
equity_ratio,0.03405044830296595
fn2_10,0.02800839632313199
fn1_24,0.025342284647612123
fn2_3,0.024884230974015435
fn1_14,0.024850129880304467
operating_income_growth,0.024678061545324148
fn2_5,0.02427948045065518
operating_margin,0.024174057409288283
short_term_borrowing_dependency,0.023351026097529825
net_income_growth,0.022559891111081014
fn1_1,0.022504972645561415
fn2_5_1,0.022231052763762263
total_capital_turnover,0.021655429505509107
fn1_13,0.021558494504732482
net_working_capital,0.021507889678341777
fn2_10_1,0.02117962378508733
roe,0.0209611453309108
fn1_19,0.019474453921374296
debt_to_equity,0.01935026328174719
empe_cnt,0.01917512959696455
fn1_15,0.018825428616552314
quick_ratio,0.0184527079546986
debt_ratio,0.01828595732815145
fn2_1,0.017835866555272313
cash_to_debt,0.01685458283326116
inventory_turnover,0.015917024398525197
current_ratio,0.015446649516688164
fn3_2,0.015149855578967369
fn1_4,0.014991951150009968
inventory_to_current_asset,0.012786498003486422
wg_gb_encoded,0.0026048335577878905
